"","Region","DataYear","ClassGrade","Gender","Ageyears","Sleep_Hours_Schoolnight","Sleep_Hours_Non_Schoolnight","Schoolwork_Pressure","Superpower","Handed","Travel_to_School","Travel_time_to_School","Left_Footlength_cm","Longer_Finger_Lefthand","Home_Internet_Access","Communication_With_Friends","Text_Messages_Sent_Yesterday","Text_Messages_Received_Yesterday","Hanging_Out_With_Friends_Hours","Doing_Homework_Hours","Doing_Things_With_Family_Hours","Outdoor_Activities_Hours","Social_Websites_Hours","Texting_Messaging_Hours","Watching_TV_Hours","Planned_Education_Level","Favorite_Music"
"1","FL",2018,12,"Male",17,5,10,"Some","Telepathy","Right-Handed","Car",20,"24","Ring finger","Yes - other","In person",20,35,8,5,3,12,2,3,10,"Graduate degree","Rock and roll"
"5","CA",2018,12,"Male",18,8,10,"Some","Telepathy","Right-Handed","Car",13,"26","Index finger","Yes - broadband connection","In person",0,0,0,1,4,1,3,1,15,"Less than high school","Gospel"
"10","MA",2017,8,"Female",13,9,10,"Some","Fly","Right-Handed","Car",7,"23.8","Same length","Yes - dial-up connection","In person",50,55,9,7,14,14,2,4,14,"Graduate degree","Country"
"11","IN",2018,7,"Male",13,8,10,"None","Fly","Right-Handed","Car",1,"26","Ring finger","Yes - other","Internet chat or instant messaging",500,500,2,0,5,6,2,1,2,"Graduate degree","Rap/Hip hop"
"13","WI",2018,11,"Male",16,5.5,6.5,"Some","Freeze time","Right-Handed","Bicycle",15,"26","Ring finger","Yes - broadband connection","Internet chat or instant messaging",0,0,6,7,5,12,1,1,6,"Less than high school","Rock and roll"
"14","NY",2017,6,"Female",11,8,6,"Some","Freeze time","Right-Handed","Rail (Train/Tram/Subway)",90,"25.5","Ring finger","Yes - broadband connection","In person",0,0,5,10,7,10,0,1,3,"Other","Rap/Hip hop"
"16","MA",2017,8,"Female",14,4,5,"A lot","Freeze time","Right-Handed","Bus",10,"24","Ring finger","Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",10,500,9,6,3,6,1,0,1,"Graduate degree","Pop"
"22","KS",2018,12,"Male",17,6,10,"A lot","Fly","Right-Handed","Car",15,"26.5","Index finger","Yes - broadband connection","Cell phone",25,15,52,10,7,0,4,9,3,"Graduate degree","Other"
"23","SC",2017,11,"Female",16,8,9,"Some","Invisibility","Left-Handed","Car",3,"22","Index finger","Yes - broadband connection","Cell phone",13,13,20,1,20,2,15,15,10,"Undergraduate degree","Rap/Hip hop"
"25","VA",2017,12,"Female",17,5,7,"Some","Telepathy","Right-Handed","Car",20,"23","Index finger","Yes - other","Text messaging",34,43,49.5,20,10,0,0,5,8,"Graduate degree","Other"
"28","AZ",2018,12,"Female",17,4,4,"A lot","Freeze time","Right-Handed","Car",45,"25","Same length","Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",200,200,10,11,2,0,10,15,5,"Graduate degree","Pop"
"31","IN",2017,12,"Female",18,8,10,"Some","Fly","Right-Handed","Car",10,"20","Index finger","Yes - other","In person",10,11,50,1,5,3,40,1,5,"Some college","Other"
"32","ID",2018,12,"Male",20,7,9,"A lot","Freeze time","Right-Handed","Walk",5,"27","Ring finger","Yes - other","In person",15,36,14,8,6,6,2,2,1,"Graduate degree","Country"
"33","AR",2017,6,"Female",12,9,12,"Some","Telepathy","Right-Handed","Walk",10,"6","Ring finger","Yes - other","Text messaging",30,31,2,1,2,3,2,2,2,"Graduate degree","Country"
"38","CA",2017,12,"Female",16,6,8,"Some","Invisibility","Right-Handed","Car",3,"23","Index finger","Yes - broadband connection","Cell phone",200,215,4,8,13,15,10,23,0,"Undergraduate degree","Other"
"39","CA",2017,11,"Female",17,7,7,"Some","Invisibility","Right-Handed","Car",20,"23.5","Index finger","Yes - broadband connection","Text messaging",88,147,45,21,9,10,14,21,1,"Undergraduate degree","Rap/Hip hop"
"42","WI",2017,7,"Male",13,10,8,"Some","Freeze time","Left-Handed","Car",12,"27","Same length","Yes - broadband connection","Internet chat or instant messaging",2,1,45,3,20,10,40,30,4,"Other","Rap/Hip hop"
"45","SC",2017,11,"Female",16,7,11,"A lot","Invisibility","Right-Handed","Car",7,"25","Index finger","Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",25,27,10,10,2,15,4,3,4,"Graduate degree","Rap/Hip hop"
"48","MA",2018,12,"Male",17,5.5,10,"Some","Fly","Right-Handed","Car",6,"25","Ring finger","Yes - broadband connection","Internet chat or instant messaging",20,20,6,8,6,12,4,1,4,"High school","Rap/Hip hop"
"54","OH",2018,12,"Male",17,9,20,"Some","Freeze time","Left-Handed","Car",5,"30","Ring finger","Yes - broadband connection","Text messaging",200,250,36,0,24,9,169,169,189,"Graduate degree","Rap/Hip hop"
"57","MA",2017,8,"Female",12,8,10.5,"Some","Freeze time","Right-Handed","Car",15,"27","Ring finger","Yes - broadband connection","Text messaging",80,91,45,7,8,18,21,5,14,"Undergraduate degree","Country"
"58","MI",2018,12,"Female",17,6,8,"Some","Telepathy","Left-Handed","Car",17,"24.7","Index finger","Yes - other","Text messaging",49,52,4,4,1,6,20,7,16,"Graduate degree","Rhythm and blues (R&B)"
"59","CA",2018,11,"Female",17,6,7,"Some","Telepathy","Right-Handed","Car",5,"22","Ring finger","Yes - broadband connection","Cell phone",6,9,5,7,8,6,2,2,3,"Undergraduate degree","Country"
"60","WI",2017,8,"Male",15,7,6,"Some","Super strength","Right-Handed","Car",15,"28","Ring finger","Yes - dial-up connection","Text messaging",60,65,6,1,3,10,4,NA,NA,"Some college","Rap/Hip hop"
"61","MA",2017,8,"Male",14,8,9,"Some","Freeze time","Right-Handed","Bus",35,"25","Ring finger","Yes - other","Cell phone",8,15,15,5,15,7,20,1,5,"Graduate degree","Country"
"67","PA",2017,12,"Female",15,7,9,"Some","Telepathy","Right-Handed","Bus",10,"23.5","Ring finger","Yes - other","Internet chat or instant messaging",20,25,4,10,0,18,4,2,0,"Graduate degree","Pop"
"70","CA",2017,12,"Male",17,8,8,"Some","Telepathy","Right-Handed","Bus",20,"29","Ring finger","Yes - broadband connection","Text messaging",34,34,8,4,6,0,12,12,20,"Graduate degree","Other"
"72","OK",2018,11,"Female",16,8,11,"A lot","Telepathy","Right-Handed","Car",10,"21","Ring finger","Yes - other","Myspace, Facebook, other social networking sites, or blog",75,75,6,5,8,1,15,10,2,"Other","Pop"
"75","MA",2017,8,"Female",13,10,11,"A lot","Freeze time","Right-Handed","Car",45,"22.86","Ring finger","Yes - broadband connection","In person",70,70,40,20,15,10,10,20,2,"Graduate degree","Pop"
"78","WI",2017,11,"Male",17,8,6,"Some","Invisibility","Right-Handed","Bus",15,"28","Ring finger","Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",11,14,2,2,5,4,6,5,0,"High school","Rock and roll"
"79","KY",2019,7,"Female",12,7,3,"Very little","Telepathy","Right-Handed","Bus",10,"8 1/2","Index finger","Yes - other","Text messaging",2,2,0,0,1,2,9,5,3,"Other","Rap/Hip hop"
"83","CA",2018,12,"Male",17,6,6,"Some","Freeze time","Right-Handed","Car",10,"24","Ring finger","Yes - dial-up connection","Cell phone",0,4,2,10,5,2,0,1,0,"Undergraduate degree","Classical"
"85","PA",2017,12,"Female",16,7,10,"Some","Fly","Right-Handed","Walk",3,"27","Index finger","Yes - broadband connection","In person",60,60,6,1,6,10,60,50,13,"Undergraduate degree","Country"
"87","VA",2018,4,"Male",9,7,7,"Very little","Invisibility","Right-Handed","Walk",2,"22","Ring finger","Yes - dial-up connection","In person",0,0,5,0,5,2,0,0,1,"Some college","Classical"
"90","NJ",2017,12,"Female",17,8,11,"Very little","Telepathy","Right-Handed","Car",15,"24.1","Index finger","Yes - broadband connection","Text messaging",700,800,10,3,4,2,7,5,5,"Graduate degree","Country"
"92","IN",2018,11,"Female",17,8,8,"Some","Freeze time","Right-Handed","Car",10,"21","Same length","Yes - other","Text messaging",20,45,5,5,7,3,2,2,7,"Graduate degree","Rock and roll"
"96","NC",2017,12,"Female",16,3.5,5,"A lot","Telepathy","Right-Handed","Car",10,"23","Index finger","","",50,30,3,7,5,0,10,4,0.2,"Graduate degree","Other"
"97","OR",2017,11,"Female",16,9,7,"Some","Freeze time","Right-Handed","Walk",1,"27.94","Same length","Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",0,3,9,7,7,8,8,3,7,"Graduate degree","Pop"
"101","PA",2018,12,"Female",15,7,10,"A lot","Invisibility","Right-Handed","Bus",10,"70","Same length","Yes - other","Myspace, Facebook, other social networking sites, or blog",100,50,2,10,5,0,10,1,11,"Graduate degree","Other"
"104","TX",2018,6,"Female",11,6,10,"Some","Fly","Right-Handed","Car",2,"27","Same length","Yes - other","Internet chat or instant messaging",60,120,10,2,13,2,4,4,4,"Other","Pop"
"107","TX",2017,12,"Male",17,8,10,"Some","Fly","Right-Handed","Car",5,"30","Ring finger","Yes - broadband connection","In person",300,325,15,1,2,15,5,5,10,"Graduate degree","Rap/Hip hop"
"108","WI",2017,8,"Female",14,7,10,"Some","Invisibility","Right-Handed","Car",2,"24","Ring finger","Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",6,7,4,6,2,7,8,6,1,"Some college","Rap/Hip hop"
"113","CA",2017,12,"Male",16,7,8,"A lot","Invisibility","Right-Handed","Car",10,"26","Ring finger","Yes - broadband connection","Internet chat or instant messaging",100,100,1,50,0,1,2,1,0,"Graduate degree","Pop"
"116","CA",2018,12,"Male",16,7,8,"A lot","Freeze time","Right-Handed","Walk",15,"27","Index finger","Yes - broadband connection","Text messaging",200,200,5,15,5,30,0,1,2,"Graduate degree","Pop"
"117","NC",2018,10,"Male",16,6,9,"Very little","Super strength","Right-Handed","Car",10,"27.8","Index finger","Yes - broadband connection","Internet chat or instant messaging",50,58,6,2,2,9,5,4,1,"Graduate degree","Rap/Hip hop"
"119","IN",2018,12,"Male",18,7.5,5,"A lot","Invisibility","Right-Handed","Walk",7,"25","Same length","Yes - other","Myspace, Facebook, other social networking sites, or blog",15,13,0,0,0,0,5,5,2,"High school","Jazz"
"123","NC",2017,11,"Female",17,5,12,"A lot","","Right-Handed","Car",7,"","","","Text messaging",45,56,0,NA,NA,0,NA,NA,NA,"Other",""
"126","NY",2017,12,"Male",17,6,10,"Some","Freeze time","Right-Handed","Rail (Train/Tram/Subway)",45,"26","Ring finger","Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",5,5,7,25,10,0,5,1,0,"Undergraduate degree","Pop"
"128","MA",2017,8,"Female",14,8,9,"A lot","Telepathy","Right-Handed","Car",6,"24","Ring finger","Yes - broadband connection","In person",80,300,20,5,24,8,50,50,50,"Graduate degree","Country"
"131","WI",2017,6,"Female",12,6,10,"A lot","Invisibility","Right-Handed","Car",5,"22","Ring finger","Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",14,12,3,9,8,10,6,0,0,"Graduate degree","Pop"
"132","IL",2017,9,"Female",14,5,8,"A lot","Telepathy","Right-Handed","Walk",15,"22","Index finger","Yes - broadband connection","In person",3,7,5,12,5,5,1,3,24,"Graduate degree","Punk rock"
"134","OH",2018,7,"Female",12,8.5,11,"A lot","Invisibility","Right-Handed","Car",60,"21","Ring finger","Yes - other","In person",50,50,5,4,5,1,2,6,4,"Some college","Pop"
"135","NY",2017,6,"Male",12,5,2,"Very little","Freeze time","Ambidextrous","Bus",10,"27","Same length","Yes - other","In person",0,47,4,1,5,2,1,1,8,"Graduate degree","Pop"
"136","SC",2019,11,"Female",15,8,11,"A lot","Fly","Right-Handed","Car",7,"22.5","Same length","Yes - broadband connection","",15,10,3,3,6,0,48,48,10,"Graduate degree","Pop"
"143","UT",2017,12,"Female",16,7,10,"Very little","Fly","Right-Handed","Bus",15,"25","Ring finger","Yes - other","Cell phone",300,300,15,3,15,8,5,20,15,"Graduate degree","Rap/Hip hop"
"145","PA",2018,12,"Male",17,6,11,"A lot","Fly","Right-Handed","Bus",25,"24","Index finger","Yes - broadband connection","Text messaging",4,6,12,6,2.5,3,0.3,0.3,0,"Graduate degree","Techno/Electronic"
"149","CA",2018,12,"Female",17,8,9,"A lot","Fly","Right-Handed","Car",5,"23","Index finger","Yes - broadband connection","Cell phone",100,100,10,10,4,10,10,10,6,"Graduate degree","Rhythm and blues (R&B)"
"150","DE",2018,12,"Male",17,7,9,"Some","Invisibility","Right-Handed","Car",7,"27.5","Same length","Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",15,15,10,4.5,3,11,15,4,5,"Undergraduate degree","Rap/Hip hop"
"159","CA",2017,7,"Male",12,8,9,"Very little","Fly","Right-Handed","Car",20,"25","Ring finger","Yes - broadband connection","Text messaging",25,50,2,3,4,2,2,2,2,"Graduate degree","Rap/Hip hop"
"164","TX",2017,12,"Female",17,8,9,"Some","Fly","Right-Handed","Car",12,"25","Ring finger","Yes - broadband connection","In person",50,70,10,20,4,2,2,2,5,"Graduate degree","Country"
"166","WI",2018,12,"Female",17,7,8,"Some","Telepathy","Left-Handed","Car",1,"24","Ring finger","Yes - broadband connection","Text messaging",5,10,19,4,1,10,3,1,8,"Graduate degree","Country"
"170","NE",2017,10,"Female",17,6,8,"A lot","","Right-Handed","Car",5,"12","Index finger","Yes - broadband connection","Text messaging",12,12,20,3,5,10,5,2,2,"",""
"171","CA",2018,12,"Female",17,7,9,"Very little","Telepathy","Right-Handed","Walk",10,"20","Index finger","Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",30,40,6,2,9,2,6,0,4,"Graduate degree","Rap/Hip hop"
"173","TX",2017,12,"Male",17,7,9,"Some","Freeze time","Right-Handed","Bus",20,"30","Same length","Yes - broadband connection","Text messaging",20,10,21,0,7,0,0,1,14,"Some college","Rock and roll"
"175","IL",2017,8,"Female",13,8,9,"Some","Super strength","Right-Handed","Car",3,"23.5","Same length","Yes - broadband connection","In person",29,29,5,7.5,10,3,8,3,1,"Graduate degree","Jazz"
"178","NC",2017,10,"Female",14,7,9,"A lot","Invisibility","Right-Handed","Car",10,"23","Index finger","Yes - other","Myspace, Facebook, other social networking sites, or blog",40,100,1,35,2,25,2,1,5,"Graduate degree","Pop"
"185","CA",2018,12,"Male",17,7,11,"A lot","Super strength","Right-Handed","Bus",45,"165","Index finger","Yes - broadband connection","Internet chat or instant messaging",18,7,11,6,0,7,30,4,0,"Graduate degree","Pop"
"187","TN",2018,12,"Female",17,8,11,"Some","Telepathy","Right-Handed","Car",5,"23","Index finger","Yes - other","Myspace, Facebook, other social networking sites, or blog",200,199,20,10,2,50,100,100,0,"Other","Rhythm and blues (R&B)"
"193","MA",2018,12,"Female",17,6,8,"Some","Fly","Right-Handed","Car",8,"24","Ring finger","Yes - broadband connection","Text messaging",120,116,116,5,10,0,90,89,10,"Some college","Rap/Hip hop"
"194","WI",2018,11,"Female",17,6,8,"A lot","Super strength","Right-Handed","Bus",10,"23.5","Index finger","Yes - other","Myspace, Facebook, other social networking sites, or blog",20,35,10,6,5,5,8,10,1,"Graduate degree","Rap/Hip hop"
"199","NC",2018,12,"Female",16,5,NA,"A lot","Super strength","Right-Handed","Bus",62,"23.8","","Yes - broadband connection","Text messaging",5,8,0,13,5,0,10,1,0,"Graduate degree","Other"
"202","PA",2019,4,"Male",10,8,4,"Some","Telepathy","Right-Handed","Bus",5,"34","Same length","Yes - other","In person",0,0,88,88,88,88,88,88,88,"Other",""
"209","IN",2018,12,"Female",17,5,8,"Some","Telepathy","Left-Handed","Car",5,"21.59","Ring finger","Yes - other","Text messaging",5,8,9,10,7,10,15,12,12,"Graduate degree","Rhythm and blues (R&B)"
"210","TX",2017,12,"Male",18,7,9,"Some","Telepathy","Ambidextrous","Car",4,"29","Same length","Yes - broadband connection","In person",80,100,15,8,3,9,3,4,6,"Graduate degree","Rap/Hip hop"
"213","FL",2018,12,"Male",15,6,4,"Some","Freeze time","Right-Handed","Car",15,"26","Ring finger","Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",3,25,NA,NA,NA,NA,NA,NA,NA,"Graduate degree","Rap/Hip hop"
