"","Region","DataYear","ClassGrade","Gender","Ageyears","Sleep_Hours_Schoolnight","Sleep_Hours_Non_Schoolnight","Schoolwork_Pressure","Superpower","Handed","Travel_to_School","Travel_time_to_School","Left_Footlength_cm","Longer_Finger_Lefthand","Home_Internet_Access","Communication_With_Friends","Text_Messages_Sent_Yesterday","Text_Messages_Received_Yesterday","Hanging_Out_With_Friends_Hours","Doing_Homework_Hours","Doing_Things_With_Family_Hours","Outdoor_Activities_Hours","Social_Websites_Hours","Texting_Messaging_Hours","Watching_TV_Hours","Planned_Education_Level","Favorite_Music"
"214","AK",2017,12,"Female",16,8,10,"Some","Telepathy","Right-Handed","Bus",17,"26","Ring finger","Yes - broadband connection","Internet chat or instant messaging",50,50,0,4,24,0,12,12,12,"Undergraduate degree","Rhythm and blues (R&B)"
"221","MO",2017,12,"Female",18,6,8,"Some","Telepathy","Right-Handed","Walk",2,"21","Ring finger","Yes - broadband connection","In person",70,100,20,24,0,7,5,3,0,"Undergraduate degree","Other"
"222","CA",2017,12,"Male",18,6.5,8,"A lot","Fly","Right-Handed","Car",20,"28","Ring finger","Yes - broadband connection","Internet chat or instant messaging",42,34,10,25,6,22,20,1,1,"Graduate degree","Rap/Hip hop"
"225","CA",2018,9,"Female",14,7,9,"Some","Telepathy","Right-Handed","Car",20,"29","Ring finger","Yes - broadband connection","Text messaging",20,20,24,6,6,7,7,3,5,"Some college","Other"
"235","MO",2017,11,"Male",16,8,11,"Very little","Telepathy","Right-Handed","Car",50,"28","Ring finger","Yes - other","Text messaging",8,9,15,10,50,30,20,8,19,"Graduate degree","Rap/Hip hop"
"240","MO",2017,11,"Male",16,8,6,"Some","Telepathy","Right-Handed","Car",23,"26","Index finger","Yes - broadband connection","Text messaging",35,70,10,10,4,10,2,6,5,"Graduate degree","Country"
"242","CA",2018,8,"Male",13,9,9,"Some","Fly","Right-Handed","Walk",6,"26","Ring finger","Yes - broadband connection","Text messaging",22,136,47,5,2,10,1,2,1,"Graduate degree","Rap/Hip hop"
"243","CA",2019,12,"Female",20,8,6,"Some","Freeze time","Right-Handed","Car",60,"20","Index finger","Yes - other","In person",0,1,2,1,0,0,4,0,1,"Less than high school","Rock and roll"
"244","CT",2017,12,"Female",17,7,10,"A lot","Freeze time","Right-Handed","Bus",70,"24.2","Index finger","Yes - other","Text messaging",32,40,10,10,15,0,20,20,2,"Graduate degree","Pop"
"246","CA",2018,11,"Male",16,7,9,"A lot","Freeze time","Right-Handed","Car",15,"28","Index finger","Yes - broadband connection","Text messaging",10,15,NA,NA,NA,NA,NA,NA,NA,"Graduate degree","Pop"
"247","NJ",2018,11,"Male",17,8,5,"A lot","Fly","Left-Handed","Car",20,"28","Ring finger","Yes - other","In person",0,0,8,7,8,9,11,2,1,"Other","Other"
"248","MA",2017,12,"Male",17,6.5,7,"A lot","Telepathy","Right-Handed","Bus",20,"26","Index finger","Yes - broadband connection","Internet chat or instant messaging",600,500,1,15,2,1,4,2,4,"Graduate degree","Rap/Hip hop"
"249","OH",2018,12,"Male",18,7,9,"Some","Invisibility","Right-Handed","Car",3,"26","","Yes - broadband connection","Text messaging",100,300,12,3,7,18,10,10,3,"Graduate degree","Rhythm and blues (R&B)"
"251","MO",2018,12,"Male",15,8,11,"A lot","Telepathy","Right-Handed","Walk",4,"28","Ring finger","Yes - other","In person",26,41,12,14,1,10,3,5,1,"Graduate degree","Rap/Hip hop"
"252","CO",2018,7,"Male",13,5,7,"A lot","Telepathy","Right-Handed","Walk",5,"29","Ring finger","Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",90,100,9,20,4,6,50,2,1,"Other","Techno/Electronic"
"255","NJ",2018,11,"Male",16,9,12,"Some","Super strength","Left-Handed","Bus",45,"26","Ring finger","Yes - other","Cell phone",1,2,NA,NA,NA,NA,NA,NA,NA,"High school","Rock and roll"
"256","NE",2017,12,"Male",17,8,9,"Very little","Freeze time","Right-Handed","Car",15,"28","Ring finger","Yes - broadband connection","In person",120,120,7,4,5,15,2,5,5,"Graduate degree","Rock and roll"
"257","CT",2018,12,"Female",17,4,10,"Some","Invisibility","Right-Handed","Bus",30,"21.59","Ring finger","Yes - other","Internet chat or instant messaging",10,15,45,15,30,5,40,105,70,"Undergraduate degree","Reggae"
"258","NJ",2017,12,"Female",17,8.5,9,"Some","Telepathy","Right-Handed","Car",8,"24.8","Index finger","Yes - broadband connection","Text messaging",250,275,10,10,9,8,4,5,9,"Graduate degree","Country"
"260","TX",2017,11,"Male",17,7,10,"Some","Super strength","Right-Handed","Car",15,"29","Ring finger","Yes - broadband connection","Internet chat or instant messaging",60,60,5,2,0,0,0,1,1,"Some college","Punk rock"
"268","SC",2018,11,"Female",17,7,8,"Some","Telepathy","Right-Handed","Car",4,"22","Index finger","Yes - other","In person",120,139,4,1,1,0,15,3,15,"Graduate degree","Rhythm and blues (R&B)"
"269","NC",2017,11,"Female",18,6,10,"A lot","Telepathy","Right-Handed","Car",7,"23","Index finger","Yes - broadband connection","Text messaging",75,75,7,15,10,3,6,4,2,"Graduate degree","Classical"
"271","FL",2017,6,"Female",11,9,7,"Some","Freeze time","Right-Handed","Bus",15,"21","Ring finger","Yes - broadband connection","Internet chat or instant messaging",2,30,70,30,70,10,60,30,70,"High school","Pop"
"277","MA",2018,12,"Female",17,6,10,"A lot","Telepathy","Right-Handed","Bus",20,"22","Index finger","Yes - other","Cell phone",5,6,4,12,1,0,2,1,0,"Graduate degree","Rap/Hip hop"
"283","OH",2018,12,"Female",16,7,12,"Some","Telepathy","Right-Handed","Car",25,"23","Ring finger","Yes - broadband connection","Text messaging",10,50,10,6,0,0,30,1,4,"Undergraduate degree","Techno/Electronic"
"284","FL",2018,12,"Female",17,8,10,"A lot","Telepathy","Right-Handed","Car",15,"23.5","Index finger","Yes - broadband connection","Text messaging",100,105,20,120,50,7,3,5,10,"Graduate degree","Pop"
"287","CA",2018,12,"Female",17,6,8,"A lot","Invisibility","Right-Handed","Car",40,"24","Same length","Yes - broadband connection","Text messaging",70,25,0,28,10,0,21,1,1,"Undergraduate degree","Other"
"290","MN",2017,12,"Male",17,7,8,"Very little","Freeze time","Ambidextrous","Bicycle",18,"27.5","Ring finger","Yes - dial-up connection","Myspace, Facebook, other social networking sites, or blog",80,100,6,2.5,8.5,10,3,10,4,"High school","Rhythm and blues (R&B)"
"293","NY",2018,10,"Female",16,8,10,"Some","Freeze time","Right-Handed","Bus",30,"27","Same length","Yes - other","In person",2,3,26,4,20,0,10,0,1,"Some college","Rap/Hip hop"
"297","VA",2018,12,"Female",83,32432,32432,"Some","Super strength","Right-Handed","Skateboard/Scooter/Rollerblade",32432,"43243","Same length","Yes - other","Text messaging",32322,32332,32433,32432,43243,23223,33232,4332,4223,"Other","Techno/Electronic"
"299","IN",2018,12,"Male",17,8,10,"Some","Telepathy","Right-Handed","Walk",10,"25.5","Ring finger","Yes - other","Text messaging",65,70,7,10,7,4,15,10,10,"Graduate degree","Other"
"309","TX",2018,12,"Male",17,6,8,"A lot","Telepathy","Right-Handed","Car",12,"26","Index finger","Yes - broadband connection","In person",30,50,2,6,10,12,7,3,10,"Graduate degree","Rock and roll"
"310","CA",2018,6,"Female",10,8,9,"Some","Freeze time","Right-Handed","Car",48,"20","Ring finger","No internet connection","Internet chat or instant messaging",0,0,0,2,9,0,0,1,1,"Graduate degree","Techno/Electronic"
"315","PA",2018,12,"Male",17,7,12,"A lot","Telepathy","Ambidextrous","Car",30,"24.13","Index finger","Yes - broadband connection","In person",8,8,3.5,24,7,2,5,1.5,3,"Graduate degree","Rock and roll"
"316","NY",2017,6,"Female",11,9,11,"Some","Fly","Right-Handed","Rail (Train/Tram/Subway)",30,"27","Ring finger","Yes - other","Text messaging",20,50,5,7,12,4,2,2,6,"Other","Other"
"317","MN",2018,9,"Male",15,10,3,"Very little","Invisibility","Left-Handed","Bus",10,"20","Index finger","No internet connection","Cell phone",30,45,6,1,10,2,24,24,0,"Some college","Rap/Hip hop"
"325","WI",2017,8,"Male",14,7,9,"Some","Freeze time","Right-Handed","Car",2,"27","Ring finger","Yes - broadband connection","Internet chat or instant messaging",300,400,6,1,3,12,2,8,1,"Less than high school","Rap/Hip hop"
"332","PA",2017,6,"Male",11,9,7,"Very little","Telepathy","Right-Handed","Bus",25,"22","Ring finger","Yes - broadband connection","In person",0,0,7,5,7,9,5,0,10,"Graduate degree","Country"
"334","NY",2017,6,"Female",11,7.5,8,"Some","Fly","Right-Handed","Rail (Train/Tram/Subway)",40,"23","Ring finger","Yes - broadband connection","Text messaging",11,12,5,12.5,3,7,1,2,1,"Graduate degree","Pop"
"335","NE",2017,10,"Female",16,3,5,"A lot","Freeze time","Right-Handed","Car",20,"25","Ring finger","Yes - other","Cell phone",6,178,70,10,5,8,80,40,10,"Some college","Other"
"336","NY",2017,6,"Male",10,5,6,"A lot","Super strength","Ambidextrous","Bus",5,"2","Same length","Yes - other","Other",0,69,1000,0,123,31,32,23,123,"Other","Rap/Hip hop"
"337","CA",2017,12,"Female",17,8,11,"A lot","Freeze time","Right-Handed","Car",15,"25","Same length","Yes - broadband connection","Text messaging",50,40,2,40,1,0,7,3,3,"Graduate degree","Pop"
"339","WI",2018,12,"Female",17,7,9,"Some","Telepathy","Ambidextrous","Car",12,"","Ring finger","Yes - other","Cell phone",8,8,9,5,5,15,4,3,4,"Graduate degree","Country"
"340","MA",2017,8,"Female",13,7,12,"A lot","Super strength","Right-Handed","Car",5,"27","Same length","Yes - broadband connection","Internet chat or instant messaging",20,35,16,4,2,3,12,12,6,"Graduate degree","Pop"
"341","NY",2019,12,"Female",18,7,9,"Some","Freeze time","Ambidextrous","Rail (Train/Tram/Subway)",50,"26.5","Same length","Yes - broadband connection","In person",10,24,5,17.5,14,2,4,3,4,"Other","Classical"
"346","PA",2017,12,"Female",17,7,5,"A lot","Invisibility","Right-Handed","Car",10,"24.3","Index finger","Yes - other","Cell phone",45,100,20,20,15,16,5,10,15,"Graduate degree","Rap/Hip hop"
"347","IA",2018,12,"Male",17,6,8,"Some","Freeze time","Right-Handed","Car",7,"25","Ring finger","Yes - broadband connection","Internet chat or instant messaging",0,0,12,0,2,14,7,0,4,"Undergraduate degree","Other"
"356","CT",2017,12,"Male",18,4,5,"Very little","Freeze time","Right-Handed","Bus",10,"","","Yes - other","Text messaging",3,3,0,1,6,5,3,4,8,"Undergraduate degree","Rap/Hip hop"
"357","NY",2018,12,"Male",17,7,9,"Very little","Freeze time","Right-Handed","Rail (Train/Tram/Subway)",50,"26","Ring finger","Yes - broadband connection","Internet chat or instant messaging",20,20,100,10,60,5,10,1,0,"Graduate degree","Other"
"358","CA",2018,6,"Female",12,5,4,"A lot","Invisibility","Right-Handed","Bicycle",5,"21","Ring finger","Yes - broadband connection","Text messaging",16,19,13,1,2,3,24,8,8,"Undergraduate degree","Techno/Electronic"
"359","OH",2018,12,"Male",18,8,9,"Some","Fly","Right-Handed","",5,"27","Ring finger","Yes - broadband connection","Text messaging",41,40,20,2,5,20,10,3,8,"Graduate degree","Rap/Hip hop"
"361","GA",2018,11,"Female",16,7,8,"Some","Telepathy","Right-Handed","Car",15,"21","Same length","Yes - broadband connection","Text messaging",60,80,6,20,0,0,12,8,4,"Graduate degree","Pop"
"363","CA",2017,12,"Male",16,7,8,"Some","Freeze time","Right-Handed","Car",15,"26.5","Ring finger","Yes - other","In person",10,10,3,14,14,6,5,4,1,"Graduate degree","Pop"
"369","KY",2019,7,"Male",13,8,5,"Some","Fly","Right-Handed","Bus",10,"23.36","Ring finger","Yes - other","Cell phone",0,0,9,1,4,6,3,2,2,"Some college","Rap/Hip hop"
"370","CA",2018,12,"Female",17,6,8,"Some","Telepathy","Right-Handed","Car",5,"25","Ring finger","Yes - broadband connection","Text messaging",30,40,7,10,8,2,5,5,3,"Other","Rhythm and blues (R&B)"
"372","SC",2018,11,"Female",17,8,7,"A lot","Fly","Right-Handed","Car",1,"24","Index finger","Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",18,18,119,14,7,56,56,7,25,"Undergraduate degree","Other"
"373","ID",2018,12,"Female",20,6,6,"A lot","Telepathy","Right-Handed","Walk",2,"","Index finger","Yes - other","Text messaging",20,20,100,120,90,70,10,30,60,"Undergraduate degree","Gospel"
"377","ID",2017,12,"Male",16,7,10.5,"Some","Telepathy","Right-Handed","Car",8,"32","Ring finger","Yes - other","Myspace, Facebook, other social networking sites, or blog",10,8,6,4,72,4,100,90,40,"Graduate degree","Rap/Hip hop"
"378","MI",2018,9,"Female",15,6,9,"Some","Telepathy","Right-Handed","Car",60,"20","Ring finger","","Text messaging",20,26,2,24,10,2,3,3,2,"Graduate degree","Other"
"379","TX",2017,12,"Male",17,8,12,"Some","Freeze time","Right-Handed","Car",5,"24","Ring finger","Yes - broadband connection","Text messaging",50,60,4,5,4,2,5,5,3,"Graduate degree","Rock and roll"
"381","CA",2019,9,"Female",15,4,6,"A lot","Freeze time","Left-Handed","Car",11,"21","Ring finger","Yes - broadband connection","Text messaging",150,300,2,60,3,12,7,86,7,"Graduate degree","Rhythm and blues (R&B)"
"383","MO",2018,11,"Male",16,NA,NA,"None","Telepathy","Right-Handed","Car",2,"29","Index finger","Yes - broadband connection","Text messaging",5,5,100,50,30,130,58,30,0,"High school","Rap/Hip hop"
"384","CA",2017,7,"Female",12,7,9,"A lot","Invisibility","Right-Handed","Car",10,"10","Ring finger","Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",10,15,3,5,0,8,6,2,2,"Some college","Other"
"392","NE",2018,12,"Female",16,8,11,"Very little","Invisibility","Right-Handed","Car",6,"24","Ring finger","Yes - other","Text messaging",21,9,2,3,10,0,8,3,5,"Graduate degree","Rap/Hip hop"
"395","NC",2017,12,"Male",17,7,8,"Very little","Super strength","Left-Handed","Car",7,"24","Same length","Yes - broadband connection","In person",3,3,5,3,2,2,1,1,2,"Graduate degree","Pop"
"397","CA",2018,12,"Male",17,6,9,"A lot","Freeze time","Ambidextrous","Car",6,"26.67","Ring finger","Yes - broadband connection","Text messaging",70,102,15,3,2,12,15,18,0,"Graduate degree","Gospel"
"403","CA",2017,7,"Male",12,10,11,"Very little","Freeze time","Right-Handed","Bicycle",4,"24","Ring finger","Yes - broadband connection","In person",1,1,2,3,2,11,0,1,1,"Some college","Pop"
"404","OH",2018,12,"Female",17,5,9,"A lot","Telepathy","Left-Handed","Car",7,"26","Ring finger","Yes - other","Cell phone",30,30,12,30,10,1,10,10,30,"Other","Rhythm and blues (R&B)"
"408","OK",2018,12,"Female",17,6,8,"Some","Telepathy","Left-Handed","Car",15,"23","Same length","Yes - other","Internet chat or instant messaging",100,200,NA,30,4,0,40,20,3,"Undergraduate degree","Rhythm and blues (R&B)"
"410","MI",2019,9,"Female",15,3,3,"Some","Invisibility","Right-Handed","Bus",NA,"","Index finger","Yes - other","Other",135,167,0,1,1,4,10,10,5,"Other","Rap/Hip hop"
"412","OH",2017,7,"Female",12,9,10,"Some","Telepathy","Right-Handed","Bus",10,"25","Ring finger","No internet connection","Text messaging",100,100,5,20,24,5,20,30,10,"Graduate degree",""
"413","IA",2018,8,"Female",13,8,6,"Some","Fly","Right-Handed","Car",4,"25","Same length","Yes - broadband connection","In person",70,50,2,3,2,4,2,2,1,"Graduate degree","Country"
"417","GA",2018,9,"Male",16,5,10,"Very little","Fly","Left-Handed","Bus",30,"10","Ring finger","Yes - dial-up connection","In person",50,100,1,1,1,4,0,3,5,"Some college","Rap/Hip hop"
"418","NJ",2017,12,"Male",17,7,8,"A lot","Freeze time","Right-Handed","Walk",15,"24","Ring finger","Yes - broadband connection","Text messaging",15,20,5,21,10,7,2,1,0,"Graduate degree","Techno/Electronic"
"419","MO",2018,7,"Female",12,8,9,"Very little","Telepathy","Right-Handed","Car",10,"24","Ring finger","Yes - other","Myspace, Facebook, other social networking sites, or blog",20,16,10,1,9,4,12,18,3,"Graduate degree","Country"
"422","CA",2018,12,"Male",18,8,10,"A lot","Freeze time","Right-Handed","Car",15,"29","Same length","Yes - broadband connection","Text messaging",10,100,5,10,3,12,3,2,5,"Graduate degree","Pop"
"423","WI",2017,8,"Male",14,9,8,"A lot","","Right-Handed","Bus",10,"20","Ring finger","Yes - broadband connection","Text messaging",150,80,20,3,10,20,1,4,19,"Some college","Rap/Hip hop"
"425","AR",2018,7,"Male",13,8,2,"Some","","Right-Handed","Car",6,"24","Index finger","Yes - broadband connection","Cell phone",2,16,1,6,8,10,2,9,11,"Other",""
"426","NC",2018,11,"Female",17,6,9,"A lot","Fly","Right-Handed","Car",9,"23","Ring finger","Yes - broadband connection","Text messaging",70,70,20,35,10,10,5,10,2,"Graduate degree","Rap/Hip hop"
"428","NJ",2018,11,"Male",16,7,10,"Some","Freeze time","Right-Handed","Car",5,"28","Ring finger","Yes - other","Text messaging",4,10,15,2,8,14,30,2,20,"Graduate degree","Punk rock"
